Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
East Asia & Pacific (excluding high income),44.80378317,44.96108057,44.11239868,43.04544617,42.17004364,40.147105,39.00442944,39.27941353,39.21711999,38.19402885,37.46085014,38.94213404,39.13118239,38.01930762,
Early-demographic dividend,34.35301478,35.22506318,35.00980011,33.915078,32.80117206,31.94779889,31.39545036,31.96444542,32.95371809,31.87700538,30.80145982,32.56709187,34.01969515,32.53045739,
East Asia & Pacific,35.86785455,35.90050242,35.7353965,35.91678386,36.06822974,35.38743402,34.58305091,35.04155523,35.18773812,34.50985771,34.25288174,35.53156261,35.53236059,34.62802071,
Europe & Central Asia (excluding high income),28.48789684,29.91057062,29.69151388,29.68368063,29.88438172,28.59377877,28.63707772,29.47686224,30.03440275,28.71780679,28.44593873,30.66784765,31.15321609,28.56052628,
Europe & Central Asia,23.37694712,23.65429838,23.52038485,23.18743759,22.88742581,22.89785719,22.70553061,22.99911776,23.18054502,22.99765495,22.59546331,23.20878353,24.2845307,23.82654889,
Ecuador,33.90617518,37.40570052,37.09175038,36.83229365,35.71199553,28.09004234,27.53396379,28.4680087,28.01474953,26.65046059,23.98113473,27.43638227,29.21197993,26.85713301,
"Egypt, Arab Rep.",35.78451848,35.9517176,39.25130243,39.8869574,39.89033386,36.63020154,32.4559536,34.39586809,35.32987503,35.82542438,32.3694441,31.18763577,32.71143147,32.11904192,
Euro area,21.98598527,21.9722205,21.78461915,21.45785827,21.32128696,21.67016819,21.66936759,21.67409146,21.67283748,21.62216011,21.59249363,21.80878081,22.36396783,22.65664061,
Eritrea,,,,,,,,,,,,,,,
Spain,22.98594897,21.88717027,20.79927488,20.0279432,19.86959899,19.92306221,19.79372502,19.9047199,19.73857438,19.97790558,20.11939278,20.31657485,20.93090638,20.11641007,
Estonia,24.03454918,25.34667451,24.63167814,24.67800446,24.10602104,23.11548514,23.23404176,23.18086204,23.28866055,22.31338488,21.77170781,22.65161698,23.33904868,21.74210874,
Ethiopia,9.435128138,9.664642193,9.476137965,10.94455699,13.47132451,16.29779364,21.9325682,23.58190618,27.30570214,24.82236751,23.10229481,21.85002737,22.71752781,24.47667644,
